Archivo,Jitter (local),Shimmer (local)
H1-vocals.wav,0.01170959095790474,0.0905706995222714
H2-vocals.wav,0.015291793384436723,0.08801596712608595
H3-vocals.wav,0.012518676598396693,0.08253133149704119
H5-vocals.wav,0.014031630885953859,0.09307386952171921
IA1-R-vocals.wav,0.009255252597247226,0.06217698014676095
IA2-R-vocals.wav,0.006888861446898169,0.08475024714746968
IA3-U-vocals.wav,0.017129726178327077,0.17110826289993786
IA4-U-vocals.wav,0.015503347391167628,0.12500612662064278
IA5-S-vocals.wav,0.016458590694819725,0.11662017546150595
IA6-R-vocals.wav,0.010217646843992054,0.07567219223400636
